role,seed,status,reasons,plan_lap_s,v_peak,thrust_peak,max_angle_deg,stretch,lap_stretched_s,min_gate_gap,n_frame_crossings,frame_margin_m
train,200110,reject,frame_crossing+arena+ref_contact,4.329,6.361,14.736,7.157,1.446,6.259,1.335,2.0,0.0
train,200111,reject,frame_crossing+arena+ref_contact,4.254,4.123,14.696,7.544,1.0,4.254,1.031,1.0,0.0
train,200112,reject,frame_crossing+arena+ref_contact,4.558,5.46,14.712,10.96,1.241,5.656,1.063,1.0,0.0
train,200113,reject,frame_crossing+ref_contact,4.567,5.376,14.748,10.346,1.222,5.58,1.171,3.0,0.0
train,200114,reject,arena+frame_margin,4.841,4.97,14.717,7.483,1.129,5.468,1.245,0.0,0.014
train,200115,reject,arena,4.139,5.468,14.607,8.236,1.243,5.144,1.035,0.0,0.036
train,200116,reject,frame_crossing+arena+ref_contact,4.511,5.233,14.639,6.162,1.189,5.365,1.172,1.0,0.0
train,200117,reject,arena,3.912,4.902,14.68,6.599,1.114,4.359,1.506,0.0,0.032
train,200118,reject,frame_crossing+arena+ref_contact,3.792,4.582,14.61,5.829,1.041,3.949,1.253,1.0,0.0
train,200119,reject,frame_crossing+ref_contact,4.832,5.956,14.737,6.088,1.354,6.541,1.333,1.0,0.0
train,200120,reject,frame_crossing+ref_contact,4.213,5.279,14.621,8.217,1.2,5.054,1.249,1.0,0.0
train,200121,reject,frame_crossing+ref_contact,3.78,4.609,14.604,5.779,1.047,3.959,1.181,1.0,0.0
